Takes 1.41555285454 seconds to evaluate 500 spectra with 5000 training values.

         7793609 function calls (7741824 primitive calls) in 64.609 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1106    0.004    0.000    0.257    0.000 transforms.py:1389(transform_point)
    30374    0.037    0.000    0.248    0.000 transforms.py:1640(__init__)
       84    0.004    0.000    0.247    0.003 axis.py:941(_update_ticks)
1559/1359    0.006    0.000    0.246    0.000 transforms.py:1293(transform)
     5251    0.008    0.000    0.244    0.000 markers.py:208(set_fillstyle)
     8824    0.243    0.000    0.243    0.000 {method 'copy' of 'numpy.ndarray' objects}
    13815    0.042    0.000    0.232    0.000 path.py:103(__init__)
      201    0.001    0.000    0.230    0.001 validation.py:64(as_float_array)
       50    0.001    0.000    0.222    0.004 pyplot.py:3145(plot)
        1    0.020    0.020    0.219    0.219 colorbar.py:20(<module>)
       17    0.029    0.002    0.219    0.013 __init__.py:1(<module>)
      237    0.006    0.000    0.217    0.001 backend_agg.py:247(draw_tex)
    39694    0.150    0.000    0.216    0.000 weakref.py:47(__init__)
      113    0.001    0.000    0.215    0.002 axis.py:1287(get_major_ticks)
       24    0.001    0.000    0.211    0.009 subprocess.py:651(__init__)
       76    0.000    0.000    0.209    0.003 spines.py:154(register_axis)
3212/2452    0.008    0.000    0.209    0.000 spines.py:404(get_spine_transform)
       24    0.004    0.000    0.208    0.009 subprocess.py:1199(_execute_child)
      794    0.007    0.000    0.206    0.000 path.py:483(contains_point)
    14178    0.029    0.000    0.205    0.000 transforms.py:1786(__init__)
3364/2452    0.001    0.000    0.202    0.000 spines.py:148(_ensure_position_is_set)
      152    0.001    0.000    0.201    0.001 spines.py:359(set_position)
    23558    0.200    0.000    0.200    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  396/358    0.003    0.000    0.192    0.001 axis.py:394(_get_tick1line)
      639    0.002    0.000    0.190    0.000 axis.py:888(iter_ticks)
 1714/857    0.014    0.000    0.181    0.000 transforms.py:2292(frozen)
     2465    0.132    0.000    0.180    0.000 dviread.py:441(__init__)
  396/358    0.003    0.000    0.179    0.000 axis.py:405(_get_tick2line)
  369/331    0.003    0.000    0.178    0.001 axis.py:528(_get_tick1line)
     8797    0.014    0.000    0.176    0.000 transforms.py:127(invalidate)
2010/1717    0.005    0.000    0.171    0.000 transforms.py:2350(transform_non_affine)
  369/331    0.003    0.000    0.166    0.001 axis.py:543(_get_tick2line)
2500/2101    0.010    0.000    0.163    0.000 transforms.py:2123(transform_non_affine)
     6118    0.015    0.000    0.163    0.000 transforms.py:2449(composite_transform_factory)
     2348    0.004    0.000    0.162    0.000 lines.py:1056(set_marker)
  2015104    0.162    0.000    0.162    0.000 {method 'lower' of 'str' objects}
16066/8797    0.060    0.000    0.162    0.000 transforms.py:138(_invalidate_internal)
        3    0.158    0.053    0.158    0.053 {matplotlib._png.write_png}
        3    0.000    0.000    0.157    0.052 pyplot.py:933(subplot)
    58641    0.154    0.000    0.155    0.000 {numpy.core.multiarray.array}
    13815    0.068    0.000    0.155    0.000 path.py:212(_update_values)
      426    0.005    0.000    0.154    0.000 artist.py:657(set_clip_path)
        1    0.011    0.011    0.146    0.146 collections.py:10(<module>)
     2348    0.004    0.000    0.144    0.000 lines.py:484(set_fillstyle)
     2167    0.003    0.000    0.140    0.000 dviread.py:261(_set_char)
        1    0.007    0.007    0.138    0.138 figure.py:12(<module>)
    15003    0.021    0.000    0.137    0.000 npyio.py:857(split_line)
       48    0.000    0.000    0.135    0.003 subprocess.py:473(_eintr_retry_call)
       41    0.135    0.003    0.135    0.003 {posix.read}
     2167    0.011    0.000    0.134    0.000 dviread.py:273(_put_char)
       38    0.001    0.000    0.133    0.003 axis.py:623(__init__)
     5965    0.016    0.000    0.130    0.000 transforms.py:1713(frozen)
       53    0.001    0.000    0.129    0.002 _axes.py:1278(plot)
        1    0.025    0.025    0.123    0.123 _subplots.py:1(<module>)
       38    0.000    0.000    0.122    0.003 axis.py:848(set_clip_path)
      396    0.004    0.000    0.119    0.000 axis.py:420(_get_gridline)
    11215    0.034    0.000    0.118    0.000 transforms.py:162(set_children)
     4581    0.013    0.000    0.116    0.000 transforms.py:1950(scale)
        1    0.018    0.018    0.116    0.116 __init__.py:101(<module>)
     4404    0.006    0.000    0.113    0.000 transforms.py:1151(__add__)
       86    0.000    0.000    0.113    0.001 axis.py:1310(get_minor_ticks)
        1    0.015    0.015    0.113    0.113 backend_bases.py:33(<module>)
      152    0.000    0.000    0.111    0.001 axis.py:177(set_clip_path)
     1594    0.003    0.000    0.110    0.000 transforms.py:827(from_bounds)
     1699    0.058    0.000    0.110    0.000 transforms.py:837(from_extents)
3640/1600    0.003    0.000    0.109    0.000 _base.py:632(get_xaxis_transform)
        2    0.001    0.000    0.109    0.054 __init__.py:4(<module>)
