Takes 1.41555285454 seconds to evaluate 500 spectra with 5000 training values.

         7793609 function calls (7741824 primitive calls) in 64.609 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1251    0.001    0.000    0.001    0.000 dviread.py:365(_fnt_num)
      553    0.001    0.000    0.001    0.000 dviread.py:243(_pre)
       77    0.000    0.000    0.001    0.000 scale.py:79(get_transform)
        1    0.000    0.000    0.001    0.001 func_inspect.py:3(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:192(Semaphore)
     3233    0.001    0.000    0.001    0.000 artist.py:720(get_visible)
        1    0.000    0.000    0.001    0.001 polynomial.py:55(<module>)
     31/4    0.000    0.000    0.001    0.000 pyparsing.py:2456(streamline)
        5    0.000    0.000    0.001    0.000 patches.py:882(__init__)
        1    0.001    0.001    0.001    0.001 arpack.py:7(<module>)
      4/2    0.000    0.000    0.001    0.000 compressed.py:24(__init__)
       20    0.000    0.000    0.001    0.000 cbook.py:1376(bubble)
      259    0.000    0.000    0.001    0.000 contextlib.py:82(helper)
      245    0.000    0.000    0.001    0.000 linecache.py:47(checkcache)
       24    0.000    0.000    0.001    0.000 {method 'view' of 'numpy.generic' objects}
       71    0.000    0.000    0.001    0.000 _base.py:2930(get_ybound)
        1    0.000    0.000    0.001    0.001 pydoc.py:36(<module>)
        3    0.000    0.000    0.001    0.000 backend_bases.py:218(__init__)
      128    0.000    0.000    0.001    0.000 artist.py:821(set_visible)
        1    0.000    0.000    0.001    0.001 pickle.py:25(<module>)
       53    0.000    0.000    0.001    0.000 _pylab_helpers.py:38(get_fig_manager)
      179    0.000    0.000    0.001    0.000 patches.py:412(set_capstyle)
        6    0.000    0.000    0.001    0.000 backend_bases.py:1680(__init__)
        6    0.000    0.000    0.001    0.000 figure.py:759(set_facecolor)
        2    0.000    0.000    0.001    0.000 funcsigs.py:55(signature)
       20    0.000    0.000    0.001    0.000 figure.py:808(_make_key)
      326    0.000    0.000    0.001    0.000 gridspec.py:465(__eq__)
        2    0.000    0.000    0.001    0.000 _base.py:1644(add_artist)
      659    0.001    0.000    0.001    0.000 {divmod}
   144/18    0.000    0.000    0.001    0.000 copy.py:145(deepcopy)
      234    0.001    0.000    0.001    0.000 {method 'sort' of 'numpy.ndarray' objects}
     1086    0.001    0.000    0.001    0.000 backend_bases.py:1032(set_joinstyle)
        6    0.000    0.000    0.001    0.000 _version.py:55(__init__)
        2    0.000    0.000    0.001    0.000 funcsigs.py:512(from_function)
        3    0.000    0.000    0.001    0.000 __init__.py:71(search_function)
       28    0.000    0.000    0.001    0.000 collections.py:592(set_facecolor)
       12    0.000    0.000    0.001    0.000 decorator.py:94(__init__)
        1    0.000    0.000    0.001    0.001 compressed.py:1(<module>)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
       38    0.000    0.000    0.001    0.000 _base.py:140(__init__)
        4    0.000    0.000    0.001    0.000 textpath.py:33(__init__)
      182    0.000    0.000    0.001    0.000 abc.py:89(<genexpr>)
      198    0.000    0.000    0.000    0.000 patches.py:335(set_linewidth)
       50    0.000    0.000    0.000    0.000 pyparsing.py:2398(__init__)
       12    0.000    0.000    0.000    0.000 {compile}
  398/396    0.000    0.000    0.000    0.000 pyparsing.py:281(__init__)
      140    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 univariate_selection.py:1(<module>)
       22    0.000    0.000    0.000    0.000 {_io.open}
        2    0.000    0.000    0.000    0.000 __init__.py:654(_get_cachedir)
     1398    0.000    0.000    0.000    0.000 backend_bases.py:850(get_clip_path)
        8    0.000    0.000    0.000    0.000 re.py:143(search)
      166    0.000    0.000    0.000    0.000 weakref.py:367(__contains__)
     3682    0.000    0.000    0.000    0.000 transforms.py:1687(get_affine)
        6    0.000    0.000    0.000    0.000 ticker.py:1535(__call__)
      881    0.000    0.000    0.000    0.000 <string>:8(__new__)
      281    0.000    0.000    0.000    0.000 ticker.py:447(fix_minus)
      881    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
     1347    0.000    0.000    0.000    0.000 {setattr}
      353    0.000    0.000    0.000    0.000 {math.log10}
       18    0.000    0.000    0.000    0.000 copy.py:226(_deepcopy_list)
     1398    0.000    0.000    0.000    0.000 backend_bases.py:1106(get_hatch_path)
       78    0.000    0.000    0.000    0.000 linalg.py:139(_commonType)
       98    0.000    0.000    0.000    0.000 docstring.py:44(__call__)
       66    0.000    0.000    0.000    0.000 pyparsing.py:816(wrapper)
     2610    0.000    0.000    0.000    0.000 {method 'iterkeys' of 'dict' objects}
       38    0.000    0.000    0.000    0.000 pyparsing.py:2517(__init__)
       17    0.000    0.000    0.000    0.000 abc.py:105(register)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
     2064    0.000    0.000    0.000    0.000 markers.py:230(get_marker)
        1    0.000    0.000    0.000    0.000 _plotutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 main.py:1(<module>)
       67    0.000    0.000    0.000    0.000 {sorted}
      407    0.000    0.000    0.000    0.000 axis.py:1279(get_major_formatter)
       50    0.000    0.000    0.000    0.000 camb.py:316(get_params)
      211    0.000    0.000    0.000    0.000 {numpy.core.multiarray.can_cast}
       14    0.000    0.000    0.000    0.000 six.py:564(with_metaclass)
       50    0.000    0.000    0.000    0.000 initialpower.py:80(has_tensors)
        6    0.000    0.000    0.000    0.000 transforms.py:518(transformed)
     1240    0.000    0.000    0.000    0.000 sre_parse.py:149(append)
        9    0.000    0.000    0.000    0.000 core.py:5434(min)
        1    0.000    0.000    0.000    0.000 base.py:3(<module>)
     1664    0.000    0.000    0.000    0.000 text.py:631(set_wrap)
       40    0.000    0.000    0.000    0.000 baseconfig.py:23(__getitem__)
      683    0.000    0.000    0.000    0.000 {method 'endswith' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 artist.py:1018(ArtistInspector)
     1395    0.000    0.000    0.000    0.000 artist.py:614(get_path_effects)
      757    0.000    0.000    0.000    0.000 six.py:180(find_module)
       19    0.000    0.000    0.000    0.000 transforms.py:819(null)
        4    0.000    0.000    0.000    0.000 pyplot.py:1553(xlim)
        7    0.000    0.000    0.000    0.000 cbook.py:1009(mkdirs)
        3    0.000    0.000    0.000    0.000 {posix.urandom}
     1630    0.000    0.000    0.000    0.000 sre_parse.py:137(__len__)
        4    0.000    0.000    0.000    0.000 ctypeslib.py:219(ndpointer)
       38    0.000    0.000    0.000    0.000 _base.py:153(set_prop_cycle)
        1    0.000    0.000    0.000    0.000 matfuncs.py:5(<module>)
       37    0.000    0.000    0.000    0.000 fromnumeric.py:2135(ptp)
  224/112    0.000    0.000    0.000    0.000 transforms.py:2327(depth)
        1    0.000    0.000    0.000    0.000 linsolve.py:1(<module>)
     18/6    0.000    0.000    0.000    0.000 pyparsing.py:2824(streamline)
       55    0.000    0.000    0.000    0.000 docstring.py:88(__call__)
      112    0.000    0.000    0.000    0.000 _base.py:252(<genexpr>)
        1    0.000    0.000    0.000    0.000 patches.py:3090(ArrowStyle)
     1086    0.000    0.000    0.000    0.000 backend_bases.py:959(set_capstyle)
       77    0.000    0.000    0.000    0.000 transforms.py:1583(_set)
       24    0.000    0.000    0.000    0.000 weakref.py:382(iteritems)
        1    0.000    0.000    0.000    0.000 scale.py:1(<module>)
        7    0.000    0.000    0.000    0.000 function_base.py:3979(meshgrid)
       12    0.000    0.000    0.000    0.000 backend_bases.py:2035(get_width_height)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
       96    0.000    0.000    0.000    0.000 {posix.close}
     1096    0.000    0.000    0.000    0.000 inspect.py:142(isfunction)
        1    0.000    0.000    0.000    0.000 arrayprint.py:5(<module>)
      103    0.000    0.000    0.000    0.000 axis.py:1910(get_view_interval)
        1    0.000    0.000    0.000    0.000 unsupervised.py:1(<module>)
       96    0.000    0.000    0.000    0.000 core.py:3579(filled)
       54    0.000    0.000    0.000    0.000 pyparsing.py:1998(parseImpl)
     1798    0.000    0.000    0.000    0.000 path.py:280(should_simplify)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      102    0.000    0.000    0.000    0.000 axis.py:2240(get_view_interval)
        1    0.000    0.000    0.000    0.000 pilutil.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 backend_tools.py:12(<module>)
        1    0.000    0.000    0.000    0.000 colors.py:48(<module>)
       77    0.000    0.000    0.000    0.000 scale.py:592(scale_factory)
      350    0.000    0.000    0.000    0.000 _internal.py:265(get_as_parameter)
       48    0.000    0.000    0.000    0.000 nosetester.py:170(__init__)
     1798    0.000    0.000    0.000    0.000 path.py:262(simplify_threshold)
       69    0.000    0.000    0.000    0.000 {matplotlib._path.get_path_extents}
       29    0.000    0.000    0.000    0.000 posixpath.py:358(abspath)
      124    0.000    0.000    0.000    0.000 cbook.py:2201(_check_1d)
        6    0.000    0.000    0.000    0.000 ticker.py:1540(tick_values)
        1    0.000    0.000    0.000    0.000 synchronize.py:36(<module>)
       40    0.000    0.000    0.000    0.000 core.py:108(get_object_signature)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 urllib2.py:852(AbstractBasicAuthHandler)
        1    0.000    0.000    0.000    0.000 pool.py:722(ThreadPool)
       61    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        7    0.000    0.000    0.000    0.000 _axes.py:218(set_ylabel)
        1    0.000    0.000    0.000    0.000 ranking.py:8(<module>)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:3(<module>)
       59    0.000    0.000    0.000    0.000 _base.py:263(_setdefaults)
      118    0.000    0.000    0.000    0.000 cbook.py:1351(push)
      152    0.000    0.000    0.000    0.000 transforms.py:1717(_get_is_separable)
     1398    0.000    0.000    0.000    0.000 backend_bases.py:974(set_clip_path)
      169    0.000    0.000    0.000    0.000 weakref.py:297(__init__)
       24    0.000    0.000    0.000    0.000 arrayprint.py:635(__init__)
       86    0.000    0.000    0.000    0.000 axis.py:1935(get_minpos)
        1    0.000    0.000    0.000    0.000 version.py:63(StrictVersion)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
       72    0.000    0.000    0.000    0.000 _base.py:2665(xaxis_inverted)
       32    0.000    0.000    0.000    0.000 cm.py:176(__init__)
     1872    0.000    0.000    0.000    0.000 {method 'tell' of 'file' objects}
      350    0.000    0.000    0.000    0.000 cbook.py:1681(clean)
       22    0.000    0.000    0.000    0.000 locale.py:449(_parse_localename)
       37    0.000    0.000    0.000    0.000 {method 'ptp' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 markers.py:78(<module>)
        1    0.000    0.000    0.000    0.000 optimize.py:17(<module>)
      155    0.000    0.000    0.000    0.000 pyparsing.py:868(__init__)
      195    0.000    0.000    0.000    0.000 figure.py:139(current_key_axes)
        1    0.000    0.000    0.000    0.000 pool.py:11(<module>)
       18    0.000    0.000    0.000    0.000 version.py:263(__init__)
        2    0.000    0.000    0.000    0.000 _distn_infrastructure.py:3299(get_distribution_names)
      329    0.000    0.000    0.000    0.000 cbook.py:493(__init__)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
      887    0.000    0.000    0.000    0.000 transforms.py:2023(get_matrix)
        1    0.000    0.000    0.000    0.000 quadpack.py:3(<module>)
       12    0.000    0.000    0.000    0.000 core.py:2938(__array_wrap__)
        9    0.000    0.000    0.000    0.000 core.py:5533(max)
        1    0.000    0.000    0.000    0.000 blas.py:143(<module>)
        1    0.000    0.000    0.000    0.000 fitpack.py:23(<module>)
     1626    0.000    0.000    0.000    0.000 font_manager.py:909(set_file)
       71    0.000    0.000    0.000    0.000 _base.py:2925(yaxis_inverted)
       41    0.000    0.000    0.000    0.000 __init__.py:379(__getitem__)
       54    0.000    0.000    0.000    0.000 _pylab_helpers.py:129(set_active)
      166    0.000    0.000    0.000    0.000 weakref.py:335(__setitem__)
        7    0.000    0.000    0.000    0.000 os.py:136(makedirs)
       57    0.000    0.000    0.000    0.000 text.py:580(set_clip_box)
        3    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(_held_figure)
     1398    0.000    0.000    0.000    0.000 backend_bases.py:919(get_snap)
        2    0.000    0.000    0.000    0.000 axis.py:702(get_children)
      110    0.000    0.000    0.000    0.000 sre_parse.py:189(__init__)
       23    0.000    0.000    0.000    0.000 core.py:6343(__init__)
      210    0.000    0.000    0.000    0.000 figure.py:232(_update_this)
     1051    0.000    0.000    0.000    0.000 {_ctypes.byref}
      237    0.000    0.000    0.000    0.000 text.py:1259(get_usetex)
       23    0.000    0.000    0.000    0.000 core.py:6348(getdoc)
        1    0.000    0.000    0.000    0.000 linalg.py:10(<module>)
      150    0.000    0.000    0.000    0.000 colors.py:676(__init__)
      398    0.000    0.000    0.000    0.000 pyparsing.py:272(__new__)
       24    0.000    0.000    0.000    0.000 {posix.waitpid}
       18    0.000    0.000    0.000    0.000 version.py:268(parse)
      259    0.000    0.000    0.000    0.000 collections.py:375(<genexpr>)
       71    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        1    0.000    0.000    0.000    0.000 path.py:13(<module>)
       42    0.000    0.000    0.000    0.000 transforms.py:348(_get_ymax)
        1    0.000    0.000    0.000    0.000 lsq_linear.py:1(<module>)
      358    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        6    0.000    0.000    0.000    0.000 __init__.py:146(compare_versions)
        2    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
     1347    0.000    0.000    0.000    0.000 markers.py:205(get_fillstyle)
      257    0.000    0.000    0.000    0.000 fromnumeric.py:1574(shape)
      474    0.000    0.000    0.000    0.000 text.py:47(_wrap_text)
       48    0.000    0.000    0.000    0.000 subprocess.py:1220(_close_in_parent)
     1089    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        3    0.000    0.000    0.000    0.000 pyplot.py:1532(ylabel)
        2    0.000    0.000    0.000    0.000 utils.py:1(<module>)
     1944    0.000    0.000    0.000    0.000 backend_bases.py:223(open_group)
      881    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
       31    0.000    0.000    0.000    0.000 posixpath.py:329(normpath)
        1    0.000    0.000    0.000    0.000 markers.py:97(MarkerStyle)
       22    0.000    0.000    0.000    0.000 locale.py:365(normalize)
     1944    0.000    0.000    0.000    0.000 backend_bases.py:231(close_group)
       56    0.000    0.000    0.000    0.000 baseconfig.py:67(dll_import)
      232    0.000    0.000    0.000    0.000 sre_parse.py:268(_escape)
     1248    0.000    0.000    0.000    0.000 colors.py:363(<genexpr>)
       81    0.000    0.000    0.000    0.000 colors.py:231(hex2color)
       43    0.000    0.000    0.000    0.000 {_functools.reduce}
        1    0.000    0.000    0.000    0.000 patches.py:1863(BoxStyle)
        1    0.000    0.000    0.000    0.000 extmath.py:3(<module>)
       52    0.000    0.000    0.000    0.000 {_struct.unpack}
        1    0.000    0.000    0.000    0.000 __init__.py:36(<module>)
        1    0.000    0.000    0.000    0.000 offsetbox.py:15(<module>)
        1    0.000    0.000    0.000    0.000 baseconfig.py:76(set_filelocs)
     1158    0.000    0.000    0.000    0.000 backend_bases.py:1081(set_snap)
        4    0.000    0.000    0.000    0.000 collections.py:50(__init__)
     1398    0.000    0.000    0.000    0.000 backend_bases.py:1114(get_sketch_params)
        1    0.000    0.000    0.000    0.000 colorbar.py:823(_locate)
     1398    0.000    0.000    0.000    0.000 artist.py:510(get_gid)
        6    0.000    0.000    0.000    0.000 patches.py:1721(_pprint_table)
     1266    0.000    0.000    0.000    0.000 ticker.py:196(set_axis)
       75    0.000    0.000    0.000    0.000 artist.py:175(have_units)
        3    0.000    0.000    0.000    0.000 {method 'create_filled_contour' of 'matplotlib.QuadContourGenerator' objects}
      906    0.000    0.000    0.000    0.000 copy_reg.py:46(_reconstructor)
       39    0.000    0.000    0.000    0.000 pyparsing.py:2784(__init__)
      813    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
       25    0.000    0.000    0.000    0.000 backend_qt5.py:488(notify_axes_change)
        3    0.000    0.000    0.000    0.000 decorator.py:239(decorator)
      2/1    0.000    0.000    0.000    0.000 colorbar.py:607(_process_values)
        3    0.000    0.000    0.000    0.000 _base.py:191(set_patchprops)
        2    0.000    0.000    0.000    0.000 funcsigs.py:474(__init__)
       19    0.000    0.000    0.000    0.000 transforms.py:2591(__init__)
      101    0.000    0.000    0.000    0.000 {method 'compress' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 pairwise.py:12(<module>)
        1    0.000    0.000    0.000    0.000 sputils.py:2(<module>)
     1628    0.000    0.000    0.000    0.000 text.py:911(get_text)
      657    0.000    0.000    0.000    0.000 figure.py:405(_get_dpi)
        1    0.000    0.000    0.000    0.000 data.py:172(max)
        1    0.000    0.000    0.000    0.000 data.py:152(_min_or_max)
      310    0.000    0.000    0.000    0.000 ticker.py:426(set_useOffset)
        1    0.000    0.000    0.000    0.000 data.py:127(_min_or_max_axis)
       12    0.000    0.000    0.000    0.000 transforms.py:380(_get_width)
       42    0.000    0.000    0.000    0.000 cbook.py:798(_string_to_bool)
       83    0.000    0.000    0.000    0.000 axis.py:2266(get_minpos)
        1    0.000    0.000    0.000    0.000 _memory_helpers.py:1(<module>)
      913    0.000    0.000    0.000    0.000 transforms.py:1171(__eq__)
       72    0.000    0.000    0.000    0.000 {posix.pipe}
       58    0.000    0.000    0.000    0.000 ticker.py:497(get_offset)
        3    0.000    0.000    0.000    0.000 backend_qt5.py:532(destroy)
       47    0.000    0.000    0.000    0.000 subprocess.py:1448(register_and_append)
        5    0.000    0.000    0.000    0.000 core.py:956(__call__)
        1    0.000    0.000    0.000    0.000 csv.py:4(<module>)
       88    0.000    0.000    0.000    0.000 _pylab_helpers.py:119(get_active)
        1    0.000    0.000    0.000    0.000 reionization.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(<module>)
        1    0.000    0.000    0.000    0.000 fitpack2.py:7(<module>)
        3    0.000    0.000    0.000    0.000 figure.py:163(__init__)
       58    0.000    0.000    0.000    0.000 pyparsing.py:558(copy)
        1    0.000    0.000    0.000    0.000 supervised.py:5(<module>)
      435    0.000    0.000    0.000    0.000 font_manager.py:721(get_family)
      485    0.000    0.000    0.000    0.000 urllib.py:1217(<genexpr>)
        5    0.000    0.000    0.000    0.000 backend_qt5.py:248(leaveEvent)
        6    0.000    0.000    0.000    0.000 path.py:469(transformed)
        2    0.000    0.000    0.000    0.000 coo.py:116(__init__)
      762    0.000    0.000    0.000    0.000 markers.py:263(get_alt_path)
        6    0.000    0.000    0.000    0.000 pyparsing.py:909(setResultsName)
        3    0.000    0.000    0.000    0.000 backend_bases.py:1388(__init__)
      720    0.000    0.000    0.000    0.000 six.py:184(find_module)
       18    0.000    0.000    0.000    0.000 ticker.py:786(__call__)
      485    0.000    0.000    0.000    0.000 urlparse.py:332(<genexpr>)
      103    0.000    0.000    0.000    0.000 patches.py:352(set_linestyle)
        6    0.000    0.000    0.000    0.000 core.py:2264(masked_invalid)
       10    0.000    0.000    0.000    0.000 threading.py:147(acquire)
      269    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
       10    0.000    0.000    0.000    0.000 {method 'connect' of 'PyQt4.QtCore.pyqtBoundSignal' objects}
        6    0.000    0.000    0.000    0.000 contour.py:1092(_get_lowers_and_uppers)
      102    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        6    0.000    0.000    0.000    0.000 _axes.py:186(set_xlabel)
       18    0.000    0.000    0.000    0.000 fontconfig_pattern.py:138(_family)
    31/23    0.000    0.000    0.000    0.000 pyparsing.py:2561(__str__)
        3    0.000    0.000    0.000    0.000 pyplot.py:1581(ylim)
       56    0.000    0.000    0.000    0.000 codecs.py:311(decode)
       12    0.000    0.000    0.000    0.000 fromnumeric.py:2705(around)
        1    0.000    0.000    0.000    0.000 geo.py:1(<module>)
        1    0.000    0.000    0.000    0.000 interface.py:41(<module>)
      259    0.000    0.000    0.000    0.000 collections.py:373(<genexpr>)
       96    0.000    0.000    0.000    0.000 arrayprint.py:628(_digits)
      474    0.000    0.000    0.000    0.000 {round}
       25    0.000    0.000    0.000    0.000 collections.py:491(set_linestyle)
        6    0.000    0.000    0.000    0.000 backend_qt5agg.py:161(draw_idle)
        1    0.000    0.000    0.000    0.000 randomized_l1.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:400(_AxesBase)
       10    0.000    0.000    0.000    0.000 decorator.py:53(__init__)
        1    0.000    0.000    0.000    0.000 initialpower.py:3(<module>)
        1    0.000    0.000    0.000    0.000 rfe.py:7(<module>)
       51    0.000    0.000    0.000    0.000 model.py:429(set_for_lmax)
       51    0.000    0.000    0.000    0.000 bbn.py:43(yhe_fit)
        5    0.000    0.000    0.000    0.000 ssl.py:114(_import_symbols)
       12    0.000    0.000    0.000    0.000 pyparsing.py:1428(__or__)
        1    0.000    0.000    0.000    0.000 path.py:1014(_define_deprecated_functions)
       14    0.000    0.000    0.000    0.000 cycler.py:468(cycler)
        1    0.000    0.000    0.000    0.000 _numdiff.py:1(<module>)
       26    0.000    0.000    0.000    0.000 rcsetup.py:734(<genexpr>)
     1398    0.000    0.000    0.000    0.000 backend_bases.py:819(restore)
        1    0.000    0.000    0.000    0.000 numerictypes.py:301(_add_aliases)
        1    0.000    0.000    0.000    0.000 gzip.py:4(<module>)
        1    0.000    0.000    0.000    0.000 colors.py:956(inverse)
      214    0.000    0.000    0.000    0.000 {repr}
        1    0.000    0.000    0.000    0.000 shutil.py:5(<module>)
      403    0.000    0.000    0.000    0.000 artist.py:1148(aliased_name)
      214    0.000    0.000    0.000    0.000 getlimits.py:270(max)
       37    0.000    0.000    0.000    0.000 ticker.py:560(_set_orderOfMagnitude)
       20    0.000    0.000    0.000    0.000 figure.py:827(fixlist)
        6    0.000    0.000    0.000    0.000 core.py:3833(__eq__)
       29    0.000    0.000    0.000    0.000 function_base.py:1518(diff)
       18    0.000    0.000    0.000    0.000 gridspec.py:135(__getitem__)
        1    0.000    0.000    0.000    0.000 colorbar.py:352(config_axis)
      403    0.000    0.000    0.000    0.000 {method 'mro' of 'type' objects}
        2    0.000    0.000    0.000    0.000 data.py:1192(fit)
       78    0.000    0.000    0.000    0.000 linalg.py:106(_makearray)
        3    0.000    0.000    0.000    0.000 backend_bases.py:1811(resize_event)
        1    0.000    0.000    0.000    0.000 process.py:35(<module>)
        1    0.000    0.000    0.000    0.000 mimetools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 util.py:35(<module>)
       30    0.000    0.000    0.000    0.000 core.py:237(_recursive_extremum_fill_value)
       31    0.000    0.000    0.000    0.000 numerictypes.py:774(__getitem__)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _multivariate.py:1519(__init__)
        3    0.000    0.000    0.000    0.000 _version.py:114(_compare)
        6    0.000    0.000    0.000    0.000 {built-in method sizeHint}
       10    0.000    0.000    0.000    0.000 transforms.py:496(fully_overlaps)
       66    0.000    0.000    0.000    0.000 pyparsing.py:1697(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method addWidget}
       28    0.000    0.000    0.000    0.000 pyparsing.py:1725(__init__)
      103    0.000    0.000    0.000    0.000 patches.py:429(set_joinstyle)
        5    0.000    0.000    0.000    0.000 patches.py:953(set_xy)
        1    0.000    0.000    0.000    0.000 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 image.py:5(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:9(<module>)
        5    0.000    0.000    0.000    0.000 figure.py:801(delaxes)
        1    0.000    0.000    0.000    0.000 _multivariate.py:2250(__init__)
       24    0.000    0.000    0.000    0.000 scale.py:586(get_scale_names)
        1    0.000    0.000    0.000    0.000 base.py:202(asformat)
      209    0.000    0.000    0.000    0.000 core.py:1242(_recursive_make_descr)
        4    0.000    0.000    0.000    0.000 pyplot.py:880(delaxes)
        1    0.000    0.000    0.000    0.000 dates.py:455(DateFormatter)
        3    0.000    0.000    0.000    0.000 pyplot.py:1512(xlabel)
      568    0.000    0.000    0.000    0.000 dviread.py:327(_right)
        1    0.000    0.000    0.000    0.000 coo.py:301(tocsr)
        5    0.000    0.000    0.000    0.000 backend_qt5.py:245(enterEvent)
       79    0.000    0.000    0.000    0.000 {_codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 scale.py:301(set_default_locators_and_formatters)
       12    0.000    0.000    0.000    0.000 pyparsing.py:2646(__init__)
      149    0.000    0.000    0.000    0.000 inspect.py:472(getmodule)
        1    0.000    0.000    0.000    0.000 legend_handler.py:26(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
       21    0.000    0.000    0.000    0.000 pyparsing.py:3183(__init__)
        1    0.000    0.000    0.000    0.000 patches.py:2608(ConnectionStyle)
      168    0.000    0.000    0.000    0.000 axis.py:1271(get_major_locator)
        9    0.000    0.000    0.000    0.000 cbook.py:189(deprecate)
        1    0.000    0.000    0.000    0.000 kde.py:20(<module>)
        1    0.000    0.000    0.000    0.000 version.py:228(LooseVersion)
        3    0.000    0.000    0.000    0.000 posixpath.py:97(splitext)
       78    0.000    0.000    0.000    0.000 linalg.py:209(_assertNdSquareness)
       14    0.000    0.000    0.000    0.000 cycler.py:529(_cycler)
       82    0.000    0.000    0.000    0.000 cbook.py:2567(_putmask)
      143    0.000    0.000    0.000    0.000 {method 'format' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 collections.py:1730(__init__)
        1    0.000    0.000    0.000    0.000 triinterpolate.py:3(<module>)
      762    0.000    0.000    0.000    0.000 markers.py:224(get_joinstyle)
        1    0.000    0.000    0.000    0.000 stats.py:1(<module>)
        4    0.000    0.000    0.000    0.000 figure.py:1311(_set_artist_props)
        1    0.000    0.000    0.000    0.000 trf_linear.py:2(<module>)
        4    0.000    0.000    0.000    0.000 funcsigs.py:237(__init__)
        1    0.000    0.000    0.000    0.000 _version.py:148(__gt__)
      762    0.000    0.000    0.000    0.000 markers.py:269(get_snap_threshold)
        3    0.000    0.000    0.000    0.000 contour.py:1107(_make_paths)
       35    0.000    0.000    0.000    0.000 _inspect.py:142(formatargspec)
      109    0.000    0.000    0.000    0.000 {_sre.compile}
      218    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
        1    0.000    0.000    0.000    0.000 sag.py:1(<module>)
      147    0.000    0.000    0.000    0.000 collections.py:623(get_edgecolor)
        1    0.000    0.000    0.000    0.000 polar.py:1(<module>)
       19    0.000    0.000    0.000    0.000 nosetester.py:511(_numpy_tester)
        1    0.000    0.000    0.000    0.000 odepack.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
        3    0.000    0.000    0.000    0.000 backend_bases.py:1376(__init__)
        6    0.000    0.000    0.000    0.000 backend_qt5.py:339(sizeHint)
     1769    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:3(<module>)
        1    0.000    0.000    0.000    0.000 label.py:9(<module>)
       25    0.000    0.000    0.000    0.000 collections.py:470(set_linewidth)
        1    0.000    0.000    0.000    0.000 stats.py:5262(rankdata)
      161    0.000    0.000    0.000    0.000 colors.py:499(__init__)
      143    0.000    0.000    0.000    0.000 gridspec.py:476(__hash__)
       58    0.000    0.000    0.000    0.000 artist.py:647(set_clip_box)
      515    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       10    0.000    0.000    0.000    0.000 __init__.py:513(_get_home)
        3    0.000    0.000    0.000    0.000 backend_qt5.py:668(set_cursor)
      759    0.000    0.000    0.000    0.000 markers.py:202(is_filled)
